sentence,slang
"sus haha
⠀⠀⠀⣠⣤⣤⣤⣤⣤⣶⣦⣤⣄⡀⠀⠀⠀⠀⠀⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⠀⢀⣴⣿⡿⠛⠉⠙⠛⠛⠛⠛⠻⢿⣿⣷⣤⡀⠀⠀⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⠀⣼⣿⠋⠀⠀⠀⠀⠀⠀⠀⢀⣀⣀⠈⢻⣿⣿⡄⠀⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⣸⣿⡏⠀⠀⠀⣠⣶⣾⣿⣿⣿⠿⠿⠿⢿⣿⣿⣿⣄⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⣿⣿⠁⠀⠀⢰⣿⣿⣯⠁⠀⠀⠀⠀⠀⠀⠀⠈⠙⢿⣷⡄⠀

⠀⠀⣀⣤⣴⣶⣶⣿⡟⠀⠀⠀⢸⣿⣿⣿⣆⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣿⣷⠀

⠀⢰⣿⡟⠋⠉⣹⣿⡇⠀⠀⠀⠘⣿⣿⣿⣿⣷⣦⣤⣤⣤⣶⣶⣶⣶⣿⣿⣿⠀

⠀⢸⣿⡇⠀⠀⣿⣿⡇⠀⠀⠀⠀⠹⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠃⠀

⠀⣸⣿⡇⠀⠀⣿⣿⡇⠀⠀⠀⠀⠀⠉⠻⠿⣿⣿⣿⣿⡿⠿⠿⠛⢻⣿⡇⠀⠀

⠀⣿⣿⠁⠀⠀⣿⣿⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⣿⣧⠀⠀

⠀⣿⣿⠀⠀⠀⣿⣿⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⣿⣿⠀⠀

⠀⣿⣿⠀⠀⠀⣿⣿⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⣿⣿⠀⠀

⠀⢿⣿⡆⠀⠀⣿⣿⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⣿⡇⠀⠀

⠀⠸⣿⣧⡀⠀⣿⣿⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣿⣿⠃⠀⠀

⠀⠀⠛⢿⣿⣿⣿⣿⣇⠀⠀⠀⠀⠀⣰⣿⣿⣷⣶⣶⣶⣶⠶⠀⢠⣿⣿⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⣿⣿⠀⠀⠀⠀⠀⣿⣿⡇⠀⣽⣿⡏⠁⠀⠀⢸⣿⡇⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⣿⣿⠀⠀⠀⠀⠀⣿⣿⡇⠀⢹⣿⡆⠀⠀⠀⣸⣿⠇⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⢿⣿⣦⣄⣀⣠⣴⣿⣿⠁⠀⠈⠻⣿⣿⣿⣿⡿⠏⠀⠀⠀⠀

⠀⠀⠀⠀⠀⠀⠀⠈⠛⠻⠿⠿⠿⠿⠋⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀",True
"""Wow, Dominic is a total savage for posting that dank meme on instagram!""",True
The chef will prepare your dinner.,True
"Brian: Hey can I have a ""pop""?
Smart person: No but you can have a soda.",True
"Yo kev, that musical was super stack dog.

Yea i know, so stack, home slice.",True
I am cut in da belly,True
It kinda upsets me that kal doesn't understand how swag they are.,True
"Everybody just chill and take like two pulls and pass - Gangstarr - ""Take two and pass""",True
"Person A: “Aye, do you wanna hang tomorrow?”

Person B: “I’m calm”",True
When I look myself in the mirror I cringe very hard because I am ugly af.,True
"""Wo man, check out the Ice in that ride!""
""Its Iced out!""",True
"1)- Let's ice that ankle so you're ready for the next game

2)- I keep my boo flooded with ice

3)- Fool didn't pay, so he had to get iced

4)- Lemme buy some ice from you",True
"It's gonna rain on my birthday!? KILLLL!!!!

I have so much math homework...killlllllll!",True
1. I'm outta juice after that five mile run...,True
"Girl: I'm cold..
Boy: Here, I'll give you my jacket",True
"""Man, matt's girlfriend is such a brick, she can hold her own when it comes to beer pong""",True
"as in:

""JF was fappin to Cracky-chan all nite & nao thars sauce on my keyboard!""",True
"This place is boring, lets flex.
Also can be said, Lets bounce, see bounce.
",True
"Hi, it's me. This is the fourth message I've left you in the past 20 minutes. Why do you have to ice me like this? Please call me back.",True
I've had SWAG and I really liked it but AG cheated on me with MC ...,True
We love to share juice,True
"ex. 1 - agreeing
a: “i gotta say. i didnt exactly agree with what he said”
b: “nah his facts were wet”

ex. 2 - liking
“that banana bread at work dude, was soooo wet”",True
"Wow cool dude, you're so frank!",True
"What the fuck, bag? Why did you eat all of the bulgogi that I cooked? That was my dinner!",True
"Dini: Have you started working on college apps yet? The deadline is in four days.
Gabby: Not really, I haven’t started any of the essays yet.
Dini: Shit, you’ve gotta grind girl!",True
"Yo my nikka gots bars
Source: jay, Aug 7, 2004",True
"'You still with him then?'
'Am I fuck, he's dashed.'",True
"Dude 1: i'm teh k00l d00d
Dude 3: I'm the awesome dude
Me: I'm the tight bringer of doom",True
"Farballs, you tool",True
"yo dogg, jennifer let me beat last night",True
"Me: I don't think you've thought your views through very well. Was that even English?

Stupid Person: YoU'rE sUch a h8R! Don't bE hatIn.",True
"-If you drown now,you will not swim any more!
-Thanks,cap...",True
All of you gon get fucked up by my squad,True
"Guy: ""Ohh the world is upside down""
GUy #2: ""Maybe Tool had a concert!""",True
"#1:man, i dont remember last night at all
#2:DUDE, you were sooooo ripped",True
"Person 1: your woke as fuck, I never knew how bad the world treats people of color

Person 2: be woke, don't turn a blind eye anymore.",True
"Glenn Beck is such a tool for corporate power, bending over and spreading cheeks for hateful robber barons who are raping the working poor with their usurious practices.",True
"Friend: G2G
Me: SUS",True
"Eugenio: I got bars at call of duty
Juan: you got no bars",True
"Yo man, that was hot",True
"1. Chris Evans (Cellular, Fantastic Four, London)(THAT GUY IS SOO HOT)
2. Umm...fire?",True
If two people are fighting and one ducks every punch the same way someone might laugh say the person was being or getting salty with the other person.,True
"Compare:

Moron McMoronington: ""The Dark Knight is the darkest of the two.""

Grandad: ""The jewish prisoners at Auschwitz saw some very dark times..."" 
Tom ""Yes indeed.""",True
"Let's ""snap"" on this lazy Sunday afternoon.",True
Reggie Miller is probably the wettest shooter ever to play basketball,True
Lets walk down to that cafe and get a little tight!,True
is that a flying saucer? I'm shook.,True
"""Katy's new video got me shook!""
""Rachel liked my tweet I am shook! """,True
yo amy is goin to stick yo cousin?,True
I feel so sorry for that goat. Tell Urkle to go get some cheese and kiss my ass.,True
"""Dude shut the fuck up you're such a dip.""
""man I tried talking to him one time but he's such a dip.""",True
"Look at Johnny's new car, it's tight",True
"Link, in addition to being the hero of Hyrule, is a real player as he has at least 3 girlfriends by the end of each game, except for the old ones and the GB titles.  They are as follow:

1) Princess Zelda (obvious)

2) Saria: Link's childhood friend from Ocarina of Time

3) Malon: A young farm girl Link meets and befriends in Ocarina of Time

4) Princess Ruto: The princess of the Zora's (fish people) who Link supposedly was going to marry in Ocarina of Time

5) Tetra: The captain of a pirate ship, that started Link's adventure in Wind Waker, was really Zelda but she didn't know who she really was when she met Link

6)Medii: A Rito girl (bird people) who Link meets in Wind Waker, might not be a loving relationship, just a friendly one

7)Ilia: Link's childhood friend from Twilight Princess, her being kidnapped starts his quest in the first place.

8)Midna: The princess of the Twilight Realm who replaces Navi as a companion and advice giver, though she is much less annoying.  Midna originally planned to use Link as a minion but eventually fell in love with him, awwwwww.  Also, Link really loved Midna back, when it is usually the girl just falling for Link, Midna counts as 2 girls because when she met Link she was a small imp, but after Ganondorf is defeated she returns to her normal (and very hot) form.

I am sure that there are some characters that I missed, but I got most of them.",True
"Hey you've the dope?
That shirts dope!",True
"Dude 1: See that hotty over there?
Dude 2: What a piece of ass, can you imaging banging her?
Dude 1: I'll be getting her later tonight, cause I just threw her in the B.O.M.B.",True
"a man wearing a wifebeater while blaring bad tool music from the sub woofer of his yellow hummer with a license plate that says ""WRKNOUT""",True
Have you seen that movie *Juice*? Wasn't Pac amazing in it?,True
"1a. Yo, you see Justin today? He's wearing those dead ass highwaters again.

1b. Dude, those pink sandals are fuckin' dead!

2. Damn, this party is dead as hell!",True
That dip will give you lip cancer and your face will fall off.,True
"Shaun in always buying mixed tapes and CD's, he is such a head.",True
Dude I had a bad day at work and was just dying to get safe when I got home!,True
"- Ey that presenter from countdown died yesterday

- Whoa...that's pretty dark, homeboi",True
"Yo dawg, member dat lil' puerto rican fellow Jose,man he's a hater yo, ain't never said anythin good about lil money May.he's a hater man.",True
Johnny is sus or Johnny is acting sus,True
"An example of moving your body would be clicking the mouse or anything in which your body move.

An example of telling someone to move would be this.
MOVE! you asshole!",True
"Make sure to wear a coat when you go outside, it is f*cking brick!

",True
Good girls swallow... do you think a pearl girl would be anything but a good girl?!?!?!,True
"Person 1: Your a dick head
Person 2: Safe.

k k dot",True
yo bro you got that hard? naw nigga only that soft,True
"Bob:  Man, that guy is such a tool.
Jim:  Yeah, which reminds me, I screwed your wife.",True
"Edd ""Man that girl was cute right?"" Antwan ""Nah bruh, she had a check""",True
Top tier savage,True
"That man is such an asshole.

Men are always pretending to be better than women.

Men need to recognize women's rights!

Men are nice. (Never heard this from a woman)",True
"Man that party was wet.
That girl by starbucks is just too wet.",True
"Lupe:""so whats the tea sis?""
Ella:""well james charles is going on tour!""",True
"I don’t like you, you’re ugly

Mad.",True
"Katarina is so savage, dumps me like a sack of candy and on to the next guy",True
"PERSON 1: ""Surely a swim?""
PERSON 2: ""Nah bro, it's too cold""
PERSON 3: ""Hard, it is""",True
"Oh I had a tasty snack last night, total guilty pleasure.

I am just out of a relationship, I want nothing but snacks for awhile.

Do you have any snacks you could lend me for the weekend?",True
"girl 1: 112 people day a day from nicotine

girl 2: big mood

guy 1: i painted this picture to represent how society is obsessed with popularity
guy 2: wow mood

person 1: i saw a duck this morning

person 2: mood",True
kendalle be slayyyyin when she buck,True
"person 1: Dude, dat nibba just knocked carl da fuck out for pissin on his yeezys
person 2: Damn he savage",True
""" Yo i just got some 24's fo' my whip, wit some low pro's so it be like i'm ridin on blades """,True
"Teacher: What is 25+25?
Person1:60
*After numerous trys they finally get 50*
Person2:Haha looking salty",True
"Dude 1: ""You guys are gay.com, Im 'bout to fade.""

Dudes 2 and 3: ""Peace, bitch""",True
"That new hoodie is cold, man!",True
i'll clean your needle after i bang with it,True
I am goin to watch dank meme complation,True
"“Imma Dip”

“You you going to the assembly?”
“No I’m dipping.”

“As soon as the movie started he dipped.”",True
Lexi Slayed her ootd. Or you slayed that dance.,True
"1. Wow! Check out how far he hit that ball!

2. Guy 1: I saw this girl in math class, she is hot as hell!
Guy 2: hit that shit brah!

3. guy 1: hey wanna see a movie?
Guy 2: fa sho jes lemme take anotha hit (slurs words)
*takes hit*
*face plants on table*
Guy 1: uhhhhhhh... Dude?",True
"I was a catcher yesterday, and now there is one",True
"That new hoodie is cold, man!",True
About 33% of men have cut dicks.,True
"Ashy faced boy: ""where's tha blow at meaan""?💨
Person with tha blow: "" on your mind, tf""😶",True
Tb is an example of a Tool. P.S. you know what we should really do... ,True
avast you have become stale,True
"Dude : Yo , is that your ting?

Guy: Nah I dont mess with her.",True
Holy crap you look so hot,True
<--snap-->  <<$N@p>>,True
"1. We gonna brick those kids that jacked us.
2. Lets brick that fool's windshield.",True
"You a fan, a phony, a fake, a pussy, a Stan - Nas",True
"*2 men enter bedroom and start doing anal*
one of the men say “ haha swag!”",True
"You just got cleaned son!

I just cleaned your soft ass.",True
Wow that Hobi is soooo extra screaming and running around like that. He's being so extra all because he saw Rap Monster naked.,True
"Guy 1: Wow this taco is good
Guy 2: Did you get that from the taco resturaunt?
Guy 1: Yeah
Guy 2: Ew, gross that place is trash",True
"1. Pass that bud lemme hit it
2. Damn that girl's a dime.. I'd hit it
3. I hit up my school last night, I'm fucking paranoid they're gonna find me out",True
dammn!! thats a clean shirt,True
the pasta was dank ,True
"All you short guys like to say, ""It's not how long it is that matters; it's what you do with it.""",True
Tiana is such a Bag!,True
"""Woah, Julia slays in that dress!""
""Slay me.""",True
Lemmie get some mo o dat sauce fo da salad dis shits dry as a mo fucka,True
"""dude i'm going to run her tonight.""

""yeah man i passed out and cant remember a thing, who did you end up running?""",True
"Want to get gas

Fill your car up a quarter",True
"oh, i've got swag.",True
"come here, i'll fucking pull ya",True
"seth morrison's backflips off 40 footers are sick

that s rail is sick brah

suggested alternitives: excellent, super duper",True
"""Your a fuking drip like!"", ""There is a big rain cloud over your town and your the biggest drip of them all.""",True
"Michelle from the immunology/microbiology department is such a lonely, pathetic tool; that's why Rebeca only eats lunch with her when she's broke.",True
"Friend #1: Hey, have you noticed Angela's been acting a little weird today?
Friend #2: Oh, don't worry about it, she's just seriously off. I think she's hooking up with Mike this weekend, so she should be fine by Monday.",True
I'm cold.,True
"Friend: ""Dude, i got a new computer for christmas""

Me: ""Tight, dude!""",True
whats the tea,True
MAD may very well have saved all our asses from a nuclear holocaust on several occasions.,True
"Your douchebag friend who works at McDonalds: ""Hey bro I got swag""
You: You're 16, work at McDonald's, and you're failing every class.
McDonald's employee: But... I have swag...",True
"1.) That cracker owns mad niggers
2.) Stay away from that trouble maker, Johny, he's a mad nigger.
3.) Oh shit that nigga so mad he got his ride jacked.
4.) shit baby that ride was mad good - or - Dam bitch that ride was wack like mad.
5.) Dzayum, her titties be MAD.",True
I am cut in da belly,True
Gonna get me a bottle of brick to chill w/ tonight.,True
"she's superfine, yes - but thick as a brick",True
"Sport Example:Damn...you just kicked my ass in football...you got game...

Macking Example:Yo you see him get that girl....he got game..",True
"While Heihachi has the least fanboys, Link has the most.",True
"Men typically own the homes then too..SO THEY CAN KICK YOU OUT FOR A YOUNGER (MORE STUPIDER VERSION OF YOU)..Just when you got wise to him (eg passed the age of 12 to 15)..

Men used women as a tool for abuse in the workplace also,can be seen in any workplace even today in the 00's..Where a woman on maternity leave may get even FURTHER pushed out of her job by a mysoginistic piece of shit who cannot even do half the work you do..or match an average days workload but still get PAYED TWICE THE AMOUNT..WHO'S THE EXPENSE NOW?",True
How many peoeple u linkin wid bro 5 wbu 10 but i thought u can link up to 8,True
"1) 
'I see you like yeah,
man, tight yea,
put your grind on
put your rhymes on
shes hot tonight
just standing there
...woooow..just standing there?'

2) 'DUDE LOOK AT MICHAEL WHILE HES BEING GRINDED BY MARIE, HES TOTALLY ABOUT TO PISS HIS PANTS!' 

3) 'Watch Tony Hawk grind that railing!'",True
“I wish I could have SWAG right now.”,True
"Man, I'm feinding. Let's go pick up a bag.",True
"Game is often misunderstood.
Game isn't about lying.",True
Justin Bieber has no swag,True
Lend us a score.,True
Masha is extra crippled.,True
"That girl is pretty dank! (good)

That girl is pretty dank...  (bad)",True
Jill is cool. She knows how to take a hint.,True
"Yo, that party looks tight!!",True
"Boy: Hey van i borrow $10 to get home?
Girl: Ask (insert name here), he's such a tool, he'll lend it to you",True
Why do broads treat me like trash? Do i deserve it?,True
"-The movie was cool, I debuzz tight!
(in french->
-le film était malade, j'débuzz tight/j'débuzz raide
-j'aime tes souliers, ils sont malades raide",True
"Bro its dead don't even worry about it anymore

There is no purpose talking about it because its dead",True
You better check yourself.,True
Pantaloons are not cool.,True
"""I got that work""",True
yo that day was lit,True
"""hey, did you hear my boy deadass clapped them cheeks at the party last night?""",True
"Kevin: What the hell are you drinking?
Idiot: 1 dollar bagged english breakfast tea.
Kevin vomits and proceeds to pour it down the drain",True
There is no better feeling in the world than when Karen jumps on top and starts to grind.,True
"Man Rich is sooooo salty, nigga shouldnt take things so personally...",True
"Person1: ""Check out that guy in the back row""
Person2: ""yeah, he is ripped""",True
ME @ ME: OMG YOUR SO HOT,True
"You: *cha cha slides of a cliff*
Friend: Mood.",True
"crashed computer
arrested",True
"Mick - ""Hey where did that girl I was hiting on go?... And where is Andy?""

Colin - ""They're both upstairs.  What do you expect, he is a bag.""",True
dat bitch got dat fire on her,True
"Yo bro , I just clapped these Gucci jawns I’m bout cop a belt too.",True
"""she looked good from behind, but when she turned around the girl was beat""

"" don't talk like you hot, your beat""

"" that man was beat . """,True
"1. the people of Bridgeport, CT are chill regarding beer laws.  
2.  Europe is chill",True
I had to hang up on my work when my hubby walked in the room,True
"Person 1: Can you meet around 1?
Person 2: Sure, that’s calm",True
Long is gay,True
"1.  I'm seriously fiending for some good dope right now.

2.  Damn, that girl looks dope!",True
"1. Me and Nimz were purely tight through primary but now its like whatever

2.shes so tight it took us ten months before we french kissed",True
"Person 1: Wow, it's hot outside
Person 2: (trying to determine an appropriate response) Umm... mood...?",True
What is that stuff on your couch it is just a bit of cheese.,True
"Dealer: How much Herb you need?
Me: I might want a half ounce tommorow, but just a cut for right now.",True
Tony is lit off of that alcohol.,True
Damn that switch flip was dank!,True
I've been on the grind for too long now. ,True
Look up Nu-Metal.  You'll read the thoughts of about 60 haters.,True
"""Ay blud, i write them bars with ease. Thats why i got nuff of them""

""I spit the illest '16s' you wil ever hear""
",True
"oh shit, look at your mom, shes hot!",True
"Jane: joe is so rude
Kerry: I don't know why you keep talking to him
Jane: you're right he's cut",True
"One library patron to another:

""Eric Jerome Dickey's novels SLEEPING WITH STRANGERS and WAKING WITH ENEMIES are sequels that are really bad.  They are page turners, and I can hardly wait for his next novel.  He is one bad writer.""",True
"I jammed seven E last night, look at my nose bleed.",True
Have you heard Vinny Bee's new single? He is so savage.,True
SWAG,True
"Felicity is thick,look at that BOOTY!!!!!",True
"""Nice bomb, whoever broke this up my mouth now tastes like ass""",True
I'll cook for you...,True
"""I thought hurricane season was over!""
""Yeah that's what I thought with my last husband!""
""I'm so dead.""",True
"Mole Chris: Hey, what size spill would you want?
Grace: I'll take a small.",True
"1. ""I've been on this stogie kick ever since I discovered scotch whiskey!""

2. ""Kicking the smoking habit would be a lot easier if it wasn't for these damn nic fits!"" 

3. ""I gotta say...these jalapeno-covered tabasco-doused enchiladas sure have a kick to them!""",True
"Steve ""Have you seen Terry recently?""
Ted ""Nah, he's been darking all weekend""

Jim's darked off again

Jim and Terry are so dark",True
"""Damn bitch get on your knees and give me some head.""",True
"Dude Issei from Highschool DXD is literally the cringiest character ever
I want to suck cringy dicks
I like some cringe up my butthole
Fuck hate, Love drake, Eat my ass like a cupcake",True
"1. - After being left in the refrigerator, the soda was as cold as ice.

2. - While on the outside, she looked warm and happy, on the inside she was as cold as stone.

3. - ""Dang, Girl! You cold!""",True
a savage is gigi😉,True
Did you see what that base ass bitch was on?,True
"""Ey look at all the haters on that girl's neck.""",True
I just got a cute new pair of slides from the mall!,True
"""hey man, look at that guy in the corner, what a total tool""

Johnny is the one feebly chatting up multiple women while consuming huge quantities of alcohol.",True
I lost 5o dollars today and was tight all day.,True
cool,True
"""Man i was so wet last night, my head is killing me.""",True
"Man that party was wet.
That girl by starbucks is just too wet.",True
