SENTENCE	FULL_CONTEXT	SLANG_TERM	ANNOTATOR_CONFIDENCE	MOVIE_ID	SENT_ID	REGION	YEAR	DEFINITION_SENTENCE	DEFINITION_SOURCE_URL	LITERAL_PARAPHRASE_OF_SLANG
You know, I think it's about time you get your head around what is and what isn't good music.	Just glad you wanted to do this just out of nowhere. <i> You know, I think it's about time you get your head around what is and what isn't good music. </i> Oh, right, right, right.	head around	1	3151540	1293	US	2007			
What would you bet on?	So, say you were her. <i> What would you bet on? </i> I would go with...	bet	1	5905224	35	US	2012			
So, now that we have our man, let me say a few words.	Sit. <i> So, now that we have our man, let me say a few words. </i> As you all know, our beloved Mike surprised us very much with his unexpected Jewishness and his total conversion.	few words	1	5905224	1403	US	2012			
I don't think anyone can really explain rock' n' roll.	Some people have a hard time explaining rock' n' roll. <i> I don't think anyone can really explain rock' n' roll. </i> Maybe Pete Townshend, but that's okay.	rock' n' roll	1	54446	364	US	2000			
Come on, Penny, join us.	Baby, yes. <i> Come on, Penny, join us. </i> Take a vacation from yourself.	vacation	1	54446	1102	US	2000			
You'll meet them all again on their long journey to the middle.	- They hate me. <i> You'll meet them all again on their long journey to the middle. </i> Your writing is damn good.	middle	1	54446	194	US	2000			
His name is Todd and he will, loud and clear.	That thing hear you? <i> His name is Todd and he will, loud and clear. </i> There you go, baby.	loud and clear	1	4744540	854	US	2012			
How can you fucking live like this?	I'm starving! <i> How can you fucking live like this? </i> There's not even a mouldy Twiglet.	fucking	1	3179568	2097	UK	2006			
All of yous running off on me, hiding on me.	I had to carry all the bags. <i> All of yous running off on me, hiding on me. </i> Listen to me.	yous	1	3179568	432	UK	2006			
So long as you're not letting it get to you, Peter, letting it get personal.	No way, not now. <i> So long as you're not letting it get to you, Peter, letting it get personal. </i> Mr Hunter, could you comment on the catalogue of bungling and neglect that has characterised this investigation?	get to you	1	3472293	892	UK	2009			
Dougie used to come over and play a round or two with Eric every now and again.	Only Dougie. <i> Dougie used to come over and play a round or two with Eric every now and again. </i> Dougie?	play a round	1	3472293	675	UK	2009			
You can keep going back for more until they have to roll you out.	That's lucky, then, isn't it? <i> You can keep going back for more until they have to roll you out. </i> Are you sure?	roll you out	1	3472293	177	UK	2009			
Come inside and close the blood claat door, man.	What's wrong with that? <i> Come inside and close the blood claat door, man. </i> Fucking Strang, Strang.	blood claat	2	3670999	1271	UK	2010	a sanitary napkin, now used as a swear word		napkin
See what your old man has to go through every day?	I'm still getting used to it myself, actually. <i> See what your old man has to go through every day? </i> What a palaver.	old man	1	3670999	605	UK	2010			
Come on, you stubborn mule.	Why don't you show me what you got? <i> Come on, you stubborn mule. </i> Give me something.	stubborn mule	2	4744540	860	US	2012	a person who is stubborn, obstinate or difficult to persuade or who does not respond to criticism.	https://greensdictofslang.com/entry/zkz6hfi	unyielding
You can't get a better proof of trust than that check.	By the way, I think I'm really starting to like Alex. <i> You can't get a better proof of trust than that check. </i> Okay.	check	1	5905224	1157	US	2012			
We're supposed to make each other feel safe.	No. <i> We're supposed to make each other feel safe. </i> Otherwise, what's the point?	what the point	1	3967329	2036	US	2010			
We want you to head up a covert Home Office inquiry into the Ripper investigation.	Which is why we've asked you here today. <i> We want you to head up a covert Home Office inquiry into the Ripper investigation. </i> Why covert?	ripper	1	3472293	75	UK	2009			
Chink and Dead Fish, but we didn't get any bookings.	We was going to call ourselves Cripple, Nigger, Yid, <i> Chink and Dead Fish, but we didn't get any bookings. </i> Could you direct us to the artistes' dressing rooms?	chink	1	3670999	112	UK	2010			
And all he had to do was square it to me and I'd make a big run and I tell you, I think I was still 20 yards behind him, and I was sprinting as fast as I could.	Look at Scholesy, look at Scholesy. <i> And all he had to do was square it to me and I'd make a big run and I tell you, I think I was still 20 yards behind him, and I was sprinting as fast as I could. </i> That was Ryan Giggs, whether he was playing on Lower Broughton Road,	square	1	5778643	771	UK	2013			
To look over to a bench that thought they'd won a game, and they've lost it, is the greatest feeling in the whole wide world.	I wanted to dive onto their bench and just celebrate. <i> To look over to a bench that thought they'd won a game, and they've lost it, is the greatest feeling in the whole wide world. </i> You know, for us to come back and score two late goals, sort of set the tone of the season, and it was, for me, it was the turning point that...	greatest feeling in the whole wide world	1	5778643	454	UK	2013			
They'd be dead scared to look up.	He'd batter on the window and they wouldn't look up! <i> They'd be dead scared to look up. </i> But if they didn't see him at the window, they knew he was on the way down.	dead scared	1	5778643	140	UK	2013			
Obviously we were just sat in the dressing room, a freezing cold day.	You'd come in the dressing room and there was a tray of sandwiches and, you know, the big hot silver pots with tea in or coffee. <i> Obviously we were just sat in the dressing room, a freezing cold day. </i> Peter Schmeichel, obviously, he walks up to get a sandwich and a cup of tea, absolutely bollocko.	freezing cold	1	5778643	1128	UK	2013			
You're a real piece of work, Bretton.	I'm a realist. <i> You're a real piece of work, Bretton. </i> You're giving the money to Babaco because it's a hustle.	work	1	3967329	1706	US	2010			
You know, like I pushed you too hard.	I feel like this is my fault. <i> You know, like I pushed you too hard. </i> I just wanted you to be better or something, I don't know.	pushed	1	3151540	1775	US	2007			
Look, I don't know what I said to you in there that got you so pissed off but I'm sorry, Charlie, all right?	We can't keep doing this shit, Charlie. <i> Look, I don't know what I said to you in there that got you so pissed off but I'm sorry, Charlie, all right? </i> All right.	pissed	2	3151540	1140	US	2007	annoyed; anger	https://greensdictofslang.com/entry/y5rpfda	angry
Oh, why don't you ask our new head manager?	- Where's Mike? <i> Oh, why don't you ask our new head manager? </i> Proudest jew on the block.	jew	1	5905224	509	US	2012			
I'm about to serve it up hot, Robby.	It's a dish you stick to cold, pal. <i> I'm about to serve it up hot, Robby. </i> I told you.	serve it	1	3967329	808	US	2010			
It's a bargain, 25 bucks a pop.	If you want an autographed picture of Bo, he signs before every game. <i> It's a bargain, 25 bucks a pop. </i> Autographs?	pop	1	4744540	587	US	2012			
Right, this is where all the fucking Pakis go to work in the chicken factory.	Waaaah! <i> Right, this is where all the fucking Pakis go to work in the chicken factory. </i> - Fucking do it, boys.	pakis	2	3179568	1554	UK	2006	shortened form of pakistan, referring to people of pakistani origin (derogatory)		asian
Woody said if I come within five feet of you, he's gonna kick the shit out of me.	If I come, you're just gonna kick my head in in the middle of a field. <i> Woody said if I come within five feet of you, he's gonna kick the shit out of me. </i> And why on earth are you dressed like that?	kick the shit out	1	3179568	332	UK	2006			
We'll catch our Ripper, not you, Mr Hunter.	I don't think I will. <i> We'll catch our Ripper, not you, Mr Hunter. </i> You're taking your time about it, aren't you?	ripper	1	3472293	482	UK	2009			
'Eddie settled his score and then we saw him leave.	'We saw my friend Eddie come for his revenge. <i> 'Eddie settled his score and then we saw him leave. </i> 'And then BJ and Clare'saw what came after.'	settled his score	1	3472293	1280	UK	2009			
""" So he sanded the geezer's winkle off with a Black Decker drill."""	""" Came home to find another gentleman's kippers in his grill <i> "" So he sanded the geezer's winkle off with a Black Decker drill."" </i> You're all right, Clive."	geezer's	1	3670999	1249	UK	2010			
Oh, well, you know, we've gotta be here'cause we've got to work, haven't we?	No, this is rented for a small fortune, actually. <i> Oh, well, you know, we've gotta be here'cause we've got to work, haven't we? </i> It's industrial relations now.	gotta	2	3670999	1114	UK	2010	got to, have to		got to
One day I did catch Phil Neville with a beauty, actually.	So, if you were new, or if you were a foreign player, and you didn't know Scholesy, you soon got to know, if you're going to have a piss, then don't turn your back. <i> One day I did catch Phil Neville with a beauty, actually. </i> It was about 60 yards away, right on the other side of the pitch, and I think he was doing a bit of extra running after training.	beauty	1	5778643	1599	UK	2013			
""" Lads, relax, there's an hour to go till kick-off yet."	"They'd be like, you know, jogging on the spot. <i> "" Lads, relax, there's an hour to go till kick-off yet. </i> Relax."""	lads	3	5778643	181	UK	2013	boys, young males		boys
"It's at the back of their mind that,"" They always come back, these."""	"Teams knew that, no matter what the score was, we would still come back at them. <i> It's at the back of their mind that,"" They always come back, these."" </i> That season, the Liverpool game, we knew we'd score late,"	back of their mind	1	5778643	457	UK	2013			
You are going to have to give me a wee bit more to work on.	Went down to the crime scene the other night. <i> You are going to have to give me a wee bit more to work on. </i> The young lad.	wee	2	6224678	335	UK	2014	small (scottish)		small
I didn't think you could pull it off.	It feels weird to be offering congratulations to you, Mike. <i> I didn't think you could pull it off. </i> I have... never had such a strong bond with anyone as I have with you.	pull it off	2	5905224	1731	US	2012	to get something done.	https://www.urbandictionary.com/define.php?term=pull%20it%20off	finish
- You want to kill a guy touches my arm?	- I don't think so. <i> - You want to kill a guy touches my arm? </i> - I had him, you know?	kill	1	4744540	717	US	2012			
I can also personally attest to this because I come from a broken family.	Divorce can have a devastating effect on a child, as my case studies attest. <i> I can also personally attest to this because I come from a broken family. </i> I was raised by my grandparents, and not that they didn't take care of me, because they did, but I still wish that my parents were there, too.	broken family	1	5905224	117	US	2012			
I tried like mad to block that trade.	Done for. <i> I tried like mad to block that trade. </i> How long you gonna be here anyway?	like mad	1	4744540	677	US	2012			
We were just catching up on things, you know, doing the whole P.R. game with her, her what a great franchise Lipnick's is gonna be.	So, if you weren't there closing the deal, what were you doing there the whole time? <i> We were just catching up on things, you know, doing the whole P.R. game with her, her what a great franchise Lipnick's is gonna be. </i> Five days is a long time to talk.	things	1	5905224	988	US	2012			
She's a damn good lawyer and I'm sure she can whip up some papers...	Mickey. <i> She's a damn good lawyer and I'm sure she can whip up some papers... </i> - make that young man some money.	whip up some papers	1	4744540	1778	US	2012			
I just got off the phone with Atlanta.	What do you think? <i> I just got off the phone with Atlanta. </i> We're not gonna take him because he can't hit a curve.	atlanta	1	4744540	1377	US	2012			
Because one day, you're gonna wake up and you're gonna be dead.	Use the money. <i> Because one day, you're gonna wake up and you're gonna be dead. </i> Lou, you got to get yourself together, all right?	wake up	1	3967329	413	US	2010			
I thought it was cool.	I liked it when you gave me that cake. <i> I thought it was cool. </i> Did you make it?	cool	2	3179568	1794	UK	2006	all okay, great		fine
So we can stick our fucking flag in the ground and say,	"For this, and for what? <i> So we can stick our fucking flag in the ground and say, </i> "" Yeah, this is England and this is England"	fucking	1	3179568	1151	UK	2006			
I've got to tell you, mate, you're a good geezer, man.	No, seriously, Combo, man. <i> I've got to tell you, mate, you're a good geezer, man. </i> Seriously.	mate	3	3179568	2061	UK	2006	friend, comrade		friend
# Sir, come on and put the charge on me	# And if I do that, I would say <i> # Sir, come on and put the charge on me </i> # I wouldn't do that	put the charge on	1	3179568	23	UK	2006			
We were playing against Newcastle, and you just want a comfortable game.	So the FA Cup final comes on the Saturday, and we just want peace. <i> We were playing against Newcastle, and you just want a comfortable game. </i> You never get that in an FA Cup final, it's always nervy, it's always tense.	comfortable	1	5778643	1646	UK	2013			
I brushed off that kid,	Where would that leave you? <i> I brushed off that kid, </i> In addition, here we are.	kid	2	6224678	967	UK	2014	child, young adult		child
- I guess that is the hard bit out of the way.	- Bye. <i> - I guess that is the hard bit out of the way. </i> - Yeah.	hard bit	1	6224678	173	UK	2014			
I'm gonna live in Morocco for one year.	I've made a decision. <i> I'm gonna live in Morocco for one year. </i> I need a new crowd.	gonna	1	54446	474	US	2000			
Hey, it was fun watching you up there tonight, man.	Thanks. <i> Hey, it was fun watching you up there tonight, man. </i> It was good music.	man	1	3151540	453	US	2007			
It's just thousands of theses sit in a library gathering dust.	No! <i> It's just thousands of theses sit in a library gathering dust. </i> You know, they change nothing.	gathering dust	1	5905224	152	US	2012			
You're always reading in the paper... about how they're taking off the wrong part of some poor guy.	You know how these doctors are, they don't know their right from their left. <i> You're always reading in the paper... about how they're taking off the wrong part of some poor guy. </i> You need to meet with a specialist.	poor guy	1	4744540	440	US	2012			
Come on, don't be such a pussy.	Oh, hey, let's get some Chinese. <i> Come on, don't be such a pussy. </i> All right, does everybody see what it is?	pussy	3	3151540	990	US	2007	not being not worthy of a real man in the topic sentence above.	https://greensdictofslang.com/entry/jvhi6ma	girl
# A bit of grin and bear it, a bit of come and share it	# Being rather silly and porridge oats <i> # A bit of grin and bear it, a bit of come and share it </i> # You're welcome, we can spare it yellow socks	grin and bear it	1	3670999	1754	UK	2010			
You wanna sort out your inner calm.	I might be a fucking cripple, mate, but I'm dangerous, all right? <i> You wanna sort out your inner calm. </i> Nice one, Davey, go on.	wanna	2	3670999	218	UK	2010	want to		want to
It just seemed like the magic dust literally had been sprayed all over the city.	If you was a good-enough guy, you didn't show off too much and you weren't big-headed, the bouncer looked after you. <i> It just seemed like the magic dust literally had been sprayed all over the city. </i> So it was good to see the football and the music thing.	magic dust	1	5778643	612	UK	2013			
Just been ripped out, you know?	My heartstrings have been... <i> Just been ripped out, you know? </i> In addition, I am going for a drink.	ripped	1	6224678	696	UK	2014			
Because they make you feel cool.	Well, it was fun. <i> Because they make you feel cool. </i> - And, hey, I met you.	cool	1	54446	1736	US	2000			
- It might make you mad again.	- Yeah. <i> - It might make you mad again. </i> No.	mad	1	3151540	1613	US	2007			
Won't you get on my back for piggyback ride	Song and pong it sounds like lots of fun <i> Won't you get on my back for piggyback ride </i> Get on my back for piggyback ride	piggybank	1	54446	1213	US	2000			
From the very beginning, we said I'm the front man... and you're the guitarist with mystique.	I'm always gonna tell you the truth. <i> From the very beginning, we said I'm the front man... and you're the guitarist with mystique. </i> That's the dynamic we agreed on.	mystique	1	54446	851	US	2000			
That was the line of the night, man.	I thought you don't have an addictive personality. <i> That was the line of the night, man. </i> You're an addict.	man	1	3151540	877	US	2007			
Who would like to go on a honeymoon with the groom, come on down!	All right, now, those of you... <i> Who would like to go on a honeymoon with the groom, come on down! </i> - Yeah, see?	yeah	1	5905224	1834	US	2012			
Well, I certainly know how my lady gets when you don't snap to it.	Honey, I need you to do that thing that fixes the garbage disposal. <i> Well, I certainly know how my lady gets when you don't snap to it. </i> - Crazy.	snap to it	2	54446	580	US	2000	get to the task at hand quickly.		hurry
Kid's hitting 350, ready to move to Double A.	Allegedly. <i> Kid's hitting 350, ready to move to Double A. </i> So let's not rush to judgment.	kid's	1	4744540	91	US	2012			
A 9/ 11 widower gets beat up by the cops.	- The city doesn't wanna make a big case out of this. <i> A 9/ 11 widower gets beat up by the cops. </i> Doesn't look good.	cops	1	3151540	1757	US	2007			
My partners get pissed off and they leave me holding the bag, that's it, I'm done.	It's a five-year lease, 50 grand a month my name on it. <i> My partners get pissed off and they leave me holding the bag, that's it, I'm done. </i> - Yeah.	bag	1	3151540	665	US	2007			
Fuck off, you little bastard!	You little fucking cunt. <i> Fuck off, you little bastard! </i> - I thought you was winding us up.	fuck off	1	3179568	2217	UK	2006			
The fire took the lot.	Peter... <i> The fire took the lot. </i> Very convenient.	lot	1	3472293	1077	UK	2009			
Makes you bloody nervous'cause it can bloody well kill you!	It attacks the nervous system here, here and here. <i> Makes you bloody nervous'cause it can bloody well kill you! </i> It inflames the brainstem, fucks with the spinal cord, leading to paralysis and muscular wasting.	bloody	1	3670999	101	UK	2010			
- I mean, the man was a roadie with Led Zeppelin, for fuck's sake.	- Really? <i> - I mean, the man was a roadie with Led Zeppelin, for fuck's sake. </i> All right, Baxter?	roadie	2	3670999	740	UK	2010			
If you was a good-enough guy, you didn't show off too much and you weren't big-headed, the bouncer looked after you.	That was a good thing that I liked about my upbringing in Manchester, was everyone looked after each other. <i> If you was a good-enough guy, you didn't show off too much and you weren't big-headed, the bouncer looked after you. </i> It just seemed like the magic dust literally had been sprayed all over the city.	bouncer	1	5778643	611	UK	2013			
However, we cannot haul every kid in off the street.	If there's enough evidence from the Scene to match his profile. <i> However, we cannot haul every kid in off the street. </i> There is a kid everywhere.	kid	2	6224678	996	UK	2014	child, young person		child
You gotta be on the light.	- I'm stabbing it right there. <i> You gotta be on the light. </i> - Shit.	light	2	3151540	864	US	2007	drugs or intoxicated.	https://greensdictofslang.com/entry/bh4aawq	drugs
- Look, that was a long time ago, okay?	- turned out in the past. <i> - Look, that was a long time ago, okay? </i> - I have learned from those mistakes.	mistakes	1	5905224	741	US	2012			
Is it that hard to make us cool?	"Maybe we just don't see ourselves the way we really are. <i> Is it that hard to make us cool? </i> This kid has you on acid screaming,"" I'm a golden god"" from a fan's rooftop."	cool	1	54446	1778	US	2000			
First thing I do when I get in the Majors... is bang one of those chicks on Desperate Housewives.	He looks like he's 30. <i> First thing I do when I get in the Majors... is bang one of those chicks on Desperate Housewives. </i> I'm mature, I like older women.	chicks	1	4744540	505	US	2012			
I'll make you a bet right now.	And where there's smoke, there's fire. <i> I'll make you a bet right now. </i> Go.	fire	1	3967329	298	US	2010			
Don't forget the rules, man.	"He looks harmless, but he does represent the magazine that trashed"" Layla""... broke up Cream, ripped every album Led Zeppelin ever made. <i> Don't forget the rules, man. </i> This little shit is the Enemy."	man	1	54446	633	US	2000			
Cops won't confirm whether there's a link to the al Qaeda terror group...	Specifics about the threat haven't been released. <i> Cops won't confirm whether there's a link to the al Qaeda terror group... </i> For Americans and Iraqis alike today's violent demonstrations were just another long chapter in the ongoing war on terror.	link	1	3151540	1701	US	2007			
I'm not letting this come between us.	You know what? <i> I'm not letting this come between us. </i> I'm just returning it.	come between	1	5905224	1174	US	2012			
- Cheers for the shitty tea, Gadget.	You make sure you come to me when it needs redoing. <i> - Cheers for the shitty tea, Gadget. </i> - Get you!	shitty	3	3179568	718	UK	2006	literally referring to excrement but in this case means bad tea		bad
So, we're bringing him with us to show him a bloody good time and you just backhanded him round t'head.	He's had a fucking bad week. <i> So, we're bringing him with us to show him a bloody good time and you just backhanded him round t'head. </i> I'm disappointed, mate.	bloody good	1	3179568	436	UK	2006			
# And pretty soon it's gonna burn your temples down	# But it rises in the East <i> # And pretty soon it's gonna burn your temples down </i> # While the heads of state are having their fun	gonna	3	3179568	1357	UK	2006	going to		going to
Like I said, we will catch our Ripper, Mr Hunter.	No. <i> Like I said, we will catch our Ripper, Mr Hunter. </i> Not you.	ripper	1	3472293	494	UK	2009			
And I'm doing all this fucking work, all this work for the family, right?	I will show more respect! <i> And I'm doing all this fucking work, all this work for the family, right? </i> You and me.	fucking	1	3670999	800	UK	2010			
I will nip out to the off-license down at the corner.	I will... <i> I will nip out to the off-license down at the corner. </i> - It will only take five minutes.	nip out	2	6224678	77	UK	2014	to quickly visit		go
You are such a hard man.	Eh? <i> You are such a hard man. </i> Are not you?	hard man	2	6224678	1217	UK	2014	violent /aggressive thug		violent
Not so much' cause we're right by the dumpster, and the trash guy forgot to stop on our street again.	Clear... <i> Not so much' cause we're right by the dumpster, and the trash guy forgot to stop on our street again. </i> So, listen, I'm gonna go in, I'm gonna take a shower, and then maybe I can muster a little romance for you.	dumpster	1	5905224	192	US	2012			
